https://barnard.edu/sites/default/files/inline-files/Barnard%20College%20Clery%20ASR%20for%202022%20calendar%20year.pdf,,,,,,,
2022 federal clery report,,,,,,,
Offense ,Year  ,On Campus: Residence Hall,On Campus: Other ,Total On Campus,Non-Campus,Public Property,
,2022,0,0,0,0,0,
Arson,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Murder/ Non-negligent Manslaughter,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Negligent Manslaughter,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,2,0,2,0,0,
Rape,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,1,
Fondling,2021,0,0,0,0,1,
,2020,0,0,0,0,2,
,,,,,,,
,2022,0,0,0,0,0,
Incest,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Statutory Rape,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,1,0,0,0,1,
Robbery,2021,0,0,0,0,0,
,2020,0,0,0,0,2,
,,,,,,,
,2022,0,0,0,0,0,
Aggravated Assault,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,2,0,2,0,0,
Burglary,2021,2,0,2,0,0,
,2020,1,0,1,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Motor Vehicle Theft,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Weapons Arrest,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Drug Arrest,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Alcohol Arrest,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Weapons Referral,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Drug Referral,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
,2022,8,0,8,0,0,
Alcohol Referral,2021,12,0,12,0,0,
,2020,8,0,8,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Stalking,2021,1,0,1,0,0,
,2020,2,0,2,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Dating Violence,2021,0,0,0,0,0,
,2020,1,0,1,0,0,
,,,,,,,
,2022,0,0,0,0,0,
Domestic Violence,2021,0,0,0,0,0,
,2020,0,0,0,0,0,
,,,,,,,
Residence Hall Fire Statistics,,,,,,,
,,,,,,,
Calendar Year 2022,,,,,,,
Location ,Fires ,Cause ,Fire–related Injuries ,Deaths related to Fire,Value of Property Damage,,
Elliott Hall ,0,N/A,N/A,N/A,N/A,,
Cathedral Gardens ,0,N/A,N/A,N/A,N/A,,
537 W. 121 Street ,0,N/A,N/A,N/A,N/A,,
600 West 116 Street ,0,N/A,N/A,N/A,N/A,,
616 West 116 Street ,0,N/A,N/A,N/A,N/A,,
620 West 116 Street ,0,N/A,N/A,N/A,N/A,,
Brooks Hall ,0,N/A,N/A,N/A,N/A,,
Hewitt Hall ,0,N/A,N/A,N/A,N/A,,
Plimpton Hall,0,N/A,N/A,N/A,N/A,,
Reid Hall ,0,N/A,N/A,N/A,N/A,,
Sulzberger Hall,1,Lit candle burning,0,0,0,,
,,,,,,,
Calendar Year 2021,,,,,,,
Location ,Fires ,Cause ,Fire–related Injuries ,Deaths related to Fire,Value of Property Damage,,
Elliott Hall ,0,N/A,N/A,N/A,N/A,,
Cathedral Gardens ,0,N/A,N/A,N/A,N/A,,
537 W. 121 Street ,0,N/A,N/A,N/A,N/A,,
600 West 116 Street ,0,N/A,N/A,N/A,N/A,,
616 West 116 Street ,0,N/A,N/A,N/A,N/A,,
620 West 116 Street ,0,N/A,N/A,N/A,N/A,,
Brooks Hall ,1,"Unintentional, use of prohibited items ",N/A,N/A,"$66,038.25",,
Hewitt Hall ,0,N/A,N/A,N/A,N/A,,
Plimpton Hall,0,N/A,N/A,N/A,N/A,,
Reid Hall ,0,N/A,N/A,N/A,N/A,,
Sulzberger Hall,0,N/A,N/A,N/A,N/A,,
,,,,,,,
Calendar Year 2020,,,,,,,
Location ,Fires ,Cause ,Fire–related Injuries ,Deaths related to Fire,Value of Property Damage,,
Elliott Hall ,0,N/A,N/A,N/A,N/A,,
Cathedral Gardens ,0,N/A,N/A,N/A,N/A,,
537 W. 121 Street ,0,N/A,N/A,N/A,N/A,,
600 West 116 Street ,0,N/A,N/A,N/A,N/A,,
616 West 116 Street ,0,N/A,N/A,N/A,N/A,,
620 West 116 Street ,0,N/A,N/A,N/A,N/A,,
Brooks Hall ,0,N/A,N/A,N/A,N/A,,
Hewitt Hall ,0,N/A,N/A,N/A,N/A,,
Plimpton Hall,0,N/A,N/A,N/A,N/A,,
Reid Hall ,0,N/A,N/A,N/A,N/A,,
Sulzberger Hall,0,N/A,N/A,N/A,N/A,,
,,,,,,,
,,,,,,,
Description of Student Housing Fire Detection and Suppression Systems Fire Evacuation Drills per building 2022,,,,,,,
Building ,Building Fire Alarm ,Room Detection ,Connected To IFA ,Central Office Sprinkler Standpipe Fire Drills Conducted,Sprinkler ,Standpipe,Fire Drills Conducted
Plimpton Hall,YES,YES,YES,YES,Partially,1 Riser,4
Elliott Hall ,YES,YES,YES,YES,Fully,1 Riser,4
Sulzberger Hall,YES,YES,YES,YES,Partially,1 Riser,4
Brooks Hall ,YES,YES,YES,YES,None,1 Riser,4
Hewitt Hall ,YES,YES,YES,YES,Partially,2 Risers,4
Reid Hall ,YES,YES,YES,YES,Partially,1 Riser,4
600 West 116 Street ,YES,YES,YES,YES,Partially,1 Riser,4
616 West 116 Street ,YES,YES,YES,YES,Partially,1 Riser,4
620 West 116 Street ,YES,YES,YES,YES,Partially,1 Riser,4
Cathedral Gardens ,YES,YES,YES,YES,Fully,1 Riser,4
537 W. 121 Street ,YES,YES,YES,YES,Partially,1 Riser,4