School,Bachelor's,Master's,Doctoral Research,Doctoral Professional,Certificate,Non-Degree,Total
Columbia College,4881,0,0,0,0,74,4955
Engineering (Undergraduate),1838,0,0,0,0,5,1843
General Studies,2628,0,0,0,232,81,2941
Architecture,0,740,48,0,2,8,798
Arts,0,850,0,0,0,0,850
Business,0,2255,119,0,3,19,2396
Climate,0,80,0,0,0,0,80
Engineering (Gradaute),0,4511,892,0,14,95,5512
GSAS,0,1980,1596,0,0,103,3679
SIPA,0,1493,32,0,0,1,1526
Journalism,0,258,27,0,8,6,299
Law,0,301,17,1341,0,58,1717
Professional Studies,0,3472,0,0,179,370,4021
Social Work,0,1137,38,0,0,10,1185
College of Physicians & Surgeons,0,234,423,799,45,194,1695
Dental Medicine,0,32,0,366,50,7,455
Nursing,0,364,25,324,17,156,886
Public Health,0,1624,159,0,0,6,1789
Global Programs,0,0,0,0,0,22,22